Id,Prediction
1,2.0813289375
2,1.7281422132
3,1.53375544078
4,2.3067256492
5,2.32337565004
6,1.18282595988
7,1.9609269769
8,1.56974345577
9,1.6354682409
10,2.27559810849
11,1.68056174854
12,2.49295193664
13,1.53145620131
14,1.85936119647
15,2.29306996115
16,2.52208307259
17,1.76824596562
18,1.79556523031
19,1.85313909758
20,2.42047846189
21,2.07061908428
22,1.64464995396
23,1.7331610909
24,2.30080024895
25,1.75675960731
26,1.75354470707
27,1.77799754161
28,2.1904507887
29,1.59655533848
30,1.10550977861
31,1.92436155253
32,1.15395261123
33,1.90656368492
34,2.03402552763
35,1.92115732534
36,2.38309724399
37,1.77252544055
38,2.40239443159
39,2.08750582765
40,2.07800911674
41,2.62449027732
42,2.45101601274
43,2.42838390649
44,1.70676241695
45,1.44905352435
46,1.91749804572
47,1.78293540253
48,1.09966057974
49,1.91193414301
50,2.1365874923
51,1.619246982
52,2.27206013294
53,1.50783255627
54,2.18155775908
55,2.57157300235
56,1.69795576602
57,2.02266212965
58,1.94570466285
59,2.1389366409
60,2.08557711806
61,2.4671843106
62,1.98760068177
63,1.92736030154
64,1.99992442933
65,2.14409847029
66,2.17162959686
67,2.06681796117
68,1.86475303849
69,1.94459425948
70,2.09074980948
71,2.59517483598
72,1.49929954256
73,1.76210972695
74,1.85040760324
75,2.04877334487
76,2.14523492986
77,1.79726945061
78,1.47493587797
79,2.39761510142
80,1.9550114977
81,1.78814245794
82,1.88850880917
83,2.46760135358
84,1.52699493872
85,2.18835481594
86,2.16125787252
87,2.03821669686
88,2.28547428424
89,1.78687985627
90,1.69497876633
91,1.36597948308
92,1.76496829048
93,1.54858226778
94,1.69543249608
95,2.08440961533
96,1.6951531601
97,2.07530706997
98,2.10057932098
99,1.7909521851
100,1.3290616448
101,1.53370942726
102,2.10416281771
103,2.32274769226
104,2.21744749415
105,1.95566467704
106,2.06854777236
107,2.48708843231
108,1.33180639524
109,2.01689657303
110,2.30288857142
111,1.22431045603
112,1.99612367169
113,2.2026203008
114,1.89529380161
115,1.86390577299
116,1.23080203934
117,2.00020521282
118,2.11844510216
119,1.85309176418
120,1.81275129507
121,1.57994993689
122,1.93331717353
123,1.73476324387
124,2.53125658818
125,1.51684512209
126,2.25535253946
127,2.67110971025
128,2.22876239042
129,2.22474005522
130,1.52842974224
131,1.83990060894
132,1.66272251836
133,1.23033150807
134,1.39669723423
135,1.77823936175
136,1.34123738433
137,2.13799530956
138,2.13443425508
139,2.33085281514
140,2.16910324685
141,2.61230096788
142,1.93001444557
143,1.78227121469
144,2.13150623053
145,1.93997717321
146,1.61515612446
147,1.88594144069
148,2.07464816554
149,1.96644160873
150,1.92237274934
151,2.09881341445
152,2.47067661235
153,2.12494321782
154,1.50455716793
155,2.01950310437
156,1.65538562076
157,2.08276337504
158,1.37302059893
159,2.04584728811
160,1.7917437237
161,2.42197454653
162,2.34866417912
163,1.65842977798
164,2.18532924482
165,1.95432829438
166,1.9100928592
167,2.09674011311
168,1.70338518356
169,1.94815081481
170,1.91354222561
171,2.00181249524
172,1.98716937068
173,1.994588928
174,1.85148023823
175,1.11816825899
176,1.98701112295
177,1.72412771088
178,1.69915485214
179,1.48223514343
180,2.37948407716
181,1.618064503
182,1.28397636418
183,2.1168203443
184,2.11890031523
185,1.51547280398
186,1.18891049539
187,2.07123018873
188,1.42406894796
189,1.99887472981
190,2.12981895308
191,1.66969657707
192,2.54224598967
193,2.13635452436
194,1.71126491861
195,1.81592832552
196,2.16830222719
197,1.54096296295
198,1.31752834478
199,2.28879094622
200,2.00913492119
201,2.37931301533
202,1.71015730006
